Commit SHA, Old function signature, New function signature
fa88679e1a75501cd747dccf11a60d34a40609ca, "java.io.File[] scan()", "void scan(com.thoughtworks.qdox.directorywalker.FileVisitor fileVisitor)"
fa88679e1a75501cd747dccf11a60d34a40609ca, "int[] yy_unpack()", "int yy_unpack(java.lang.String packed, int offset, int[] trans)"
fa88679e1a75501cd747dccf11a60d34a40609ca, "void assertLex(int expectedToken, com.thoughtworks.qdox.parser.Lexer lexer) throws java.io.IOException", "void assertLex(int expectedToken, java.lang.String expectedText, com.thoughtworks.qdox.parser.Lexer lexer) throws java.io.IOException"
7dae4b2961d9e827318b4a10ed96d9279a701fd1, "Type createType(java.lang.String typeName)", "Type createType(java.lang.String typeName, int dimensions)"
1da6dec6b1bd99106b4910bc43abe7d0c7ba1c89, "void buildFileMap()", "void buildFileMap(java.io.File directory, java.lang.String[] sourceFiles)"
d5c1dc371a9b0e3611cb1c368833bd5cb5cfbc9d, "void addSource(java.io.Reader reader)", "void addSource(java.io.File file, java.io.Reader reader)"
d80c235d79cbd1e614c6d690b3aeba34b1153d23, "void addField(com.thoughtworks.qdox.model.JavaField javaField)", "void addField(java.lang.reflect.Field field, com.thoughtworks.qdox.model.ModelBuilder binaryBuilder)"
64af5869ba88d4f7f3985b75ffd0d4a1dba51382, "com.thoughtworks.qdox.model.JavaMethod getMethodBySignature(java.lang.String name, Type[] parameterTypes)", "com.thoughtworks.qdox.model.JavaMethod getMethodBySignature(java.lang.String name, Type[] parameterTypes, boolean superclasses)"
0da62689cd819938b929b3ab6af7503956c0d437, "java.lang.String getNamedParameter(java.lang.String key)", "java.lang.String getNamedParameter(java.lang.String tagName, java.lang.String parameterName)"
0da62689cd819938b929b3ab6af7503956c0d437, "void writeBody(IndentBuffer result)", "void writeBody(IndentBuffer result, boolean withModifiers, boolean isDeclaration, boolean isPrettyPrint)"
8798b056225768066e2e8d88b84c6a18f4398e14, "com.thoughtworks.qdox.model.DocletTag createDocletTag(java.lang.String tag, java.lang.String text)", "com.thoughtworks.qdox.model.DocletTag createDocletTag(java.lang.String tag, java.lang.String text, int lineNumber, com.thoughtworks.qdox.model.JavaSource javaSource)"
8798b056225768066e2e8d88b84c6a18f4398e14, "void addJavaDocTag(java.lang.String tag, java.lang.String text)", "void addJavaDocTag(java.lang.String tag, java.lang.String text, int lineNumber)"
69652fbddbd2a20738f614d0766f77c6eca2978d, "com.thoughtworks.qdox.model.DocletTag getTagByName(java.lang.String name)", "com.thoughtworks.qdox.model.DocletTag getTagByName(java.lang.String name, boolean inherited)"
69652fbddbd2a20738f614d0766f77c6eca2978d, "com.thoughtworks.qdox.model.DocletTag[] getTagsByName(java.lang.String name)", "com.thoughtworks.qdox.model.DocletTag[] getTagsByName(java.lang.String name, boolean inherited)"
f2ce6a4e79e4dbe53d573b95c4142dd06b3a743c, "com.thoughtworks.qdox.model.JavaMethod[] getMethods()", "com.thoughtworks.qdox.model.JavaMethod[] getMethods(boolean superclasses)"
f2ce6a4e79e4dbe53d573b95c4142dd06b3a743c, "com.thoughtworks.qdox.model.BeanProperty[] getBeanProperties()", "com.thoughtworks.qdox.model.BeanProperty[] getBeanProperties(boolean superclasses)"
f2ce6a4e79e4dbe53d573b95c4142dd06b3a743c, "com.thoughtworks.qdox.model.BeanProperty getOrCreateProperty(java.lang.String propertyName)", "com.thoughtworks.qdox.model.BeanProperty getOrCreateProperty(java.util.Map beanPropertyMap, java.lang.String propertyName)"
f2ce6a4e79e4dbe53d573b95c4142dd06b3a743c, "com.thoughtworks.qdox.model.BeanProperty getBeanProperty(java.lang.String propertyName)", "com.thoughtworks.qdox.model.BeanProperty getBeanProperty(java.lang.String propertyName, boolean superclasses)"
3ef62ce87a932ba982ec365206169201f771a9e9, "boolean parse()", "java.util.Map parse(java.lang.String input)"
f95b8699243e2e042d031f61d298ae341b8b398a, "void verify()", "void verify(java.lang.String id, java.io.InputStream inputStream)"
0b31d3727042a29b92e9b5c9d950c57cf05d85f5, "void addSourceTree(java.io.File file)", "void addSourceTree(java.io.File file, com.thoughtworks.qdox.directorywalker.FileVisitor errorHandler)"
dc7c53fb69424dcd98295d81f2a42d0392639469, "java.lang.String getValue()", "java.lang.Object getValue(com.thoughtworks.qdox.model.Annotation annotation, java.lang.String property)"
baaf08224d37fdea6c1f4a86fdfd35c9fec75e03, "java.lang.String getGenericValue()", "java.lang.String getGenericValue(TypeVariable[] typeVariableList)"
baaf08224d37fdea6c1f4a86fdfd35c9fec75e03, "java.lang.String getResolvedValue()", "java.lang.String getResolvedValue(TypeVariable[] typeParameters)"
baaf08224d37fdea6c1f4a86fdfd35c9fec75e03, "java.lang.String getResolvedGenericValue()", "java.lang.String getResolvedGenericValue(TypeVariable[] typeParameters)"
5b307bdd317e1784b732d2dc9bc854dd38b87aba, "TypeVariable createTypeVariable(com.thoughtworks.qdox.parser.structs.TypeVariableDef typeVariableDef)", "TypeVariable createTypeVariable(java.lang.String name, java.util.List typeParams)"
4677042255bf26e038333a033147feaa267ced43, "com.thoughtworks.qdox.model.JavaMethod getMethodBySignature(java.lang.String name, Type[] parameterTypes, boolean superclasses)", "com.thoughtworks.qdox.model.JavaMethod getMethodBySignature(java.lang.String name, Type[] parameterTypes, boolean superclasses, boolean varArg)"
4677042255bf26e038333a033147feaa267ced43, "com.thoughtworks.qdox.model.JavaMethod[] getMethodsBySignature(java.lang.String name, Type[] parameterTypes, boolean superclasses)", "com.thoughtworks.qdox.model.JavaMethod[] getMethodsBySignature(java.lang.String name, Type[] parameterTypes, boolean superclasses, boolean varArg)"
4677042255bf26e038333a033147feaa267ced43, "boolean signatureMatches(java.lang.String name, Type[] parameterTypes)", "boolean signatureMatches(java.lang.String name, Type[] parameterTypes, boolean varArg)"
bb5625593c7bdbf7ba9ee36fc5171ea2e71b74d5, "com.thoughtworks.qdox.model.JavaMethod getMethod(int i)", "com.thoughtworks.qdox.model.JavaMethod getMethod(java.lang.String name, Type[] parameterTypes, boolean varArgs)"
06ec9acbb1ebb9b3f646ebdbab771010001a6979, "Type getReturnType()", "Type getReturnType(boolean resolve)"
06ec9acbb1ebb9b3f646ebdbab771010001a6979, "Type getReturnType(boolean resolve)", "Type getReturnType(boolean resolve, com.thoughtworks.qdox.model.JavaClass callingClass)"
06ec9acbb1ebb9b3f646ebdbab771010001a6979, "void resolve()", "com.thoughtworks.qdox.model.Type resolve(com.thoughtworks.qdox.model.JavaClass parentClass)"
06ec9acbb1ebb9b3f646ebdbab771010001a6979, "com.thoughtworks.qdox.model.Type resolve(com.thoughtworks.qdox.model.JavaClass parentClass)", "com.thoughtworks.qdox.model.Type resolve(com.thoughtworks.qdox.model.JavaClass parentClass, com.thoughtworks.qdox.model.JavaClass subclass)"
13c19a016aaf5c4433ed507988ca767944ee6d7a, "Type[] getParameterTypes()", "Type[] getParameterTypes(boolean resolve)"
13c19a016aaf5c4433ed507988ca767944ee6d7a, "Type[] getParameterTypes(boolean resolve)", "Type[] getParameterTypes(boolean resolve, com.thoughtworks.qdox.model.JavaClass callingClass)"
dabb2483bbc17a237bd0a6f7d6fc799c7f2e3b59, "void addParameter(com.thoughtworks.qdox.model.JavaParameter javaParameter)", "void addParameter(com.thoughtworks.qdox.model.JavaMethod method, com.thoughtworks.qdox.model.JavaParameter parameter)"
